PARENT_MOLREGNO	CHEMBL_ID	SYNONYMS	DEVELOPMENT_PHASE	RESEARCH_CODES	APPLICANTS	USAN_STEM	USAN_STEM_DEFINITION	USAN_STEM_SUBSTEM	USAN_YEAR	FIRST_APPROVAL	ATC_CODE	ATC_CODE_DESCRIPTION	INDICATION_CLASS	DRUG_TYPE	RULE_OF_FIVE	FIRST_IN_CLASS	CHIRALITY	PRODRUG	ORAL	PARENTERAL	TOPICAL	BLACK_BOX	AVAILABILITY_TYPE	CANONICAL_SMILES
366278	CHEMBL220491	Brinzolamide (BAN, FDA, INN, USAN, USP)	4	AL-4862	Alcon Pharmaceuticals Ltd	-zolamide	carbonic anhydrase inhibitors	-zolamide	1997	1998	S01EC04	S01EC04 [Sensory Organs:Ophthalmologicals:Antiglaucoma Preparations And Miotics:Carbonic anhydrase inhibitors]	Antiglaucoma Agent	Synthetic Small Molecule	Y	N	Single Stereoisomer	N	N	N	Y	N	Prescription-only	CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(cc12)S(=O)(=O)N
650126	CHEMBL1173655	Afatinib (USAN, INN); Afatinib Dimaleate (FDA, USAN)	4	BIBW-2992; BIBW2992-MA2	Boehringer Ingelheim Pharmaceuticals; Boehringer Ingelheim	-tinib	tyrosine kinase inhibitors	-tinib	2010	2013	L01XE13	L01XE13 [Antineoplastic And Immunomodulating Agents:Antineoplastic Agents:Other Antineoplastic Agents:Protein kinase inhibitors]		Synthetic Small Molecule	Y	N	Single Stereoisomer	N	Y	N	N	N	Prescription-only	CN(C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]4CCOC4
363589	CHEMBL1422	Sitagliptin Phosphate (FDA, USAN); Sitagliptin (INN)	4	MK-0431	Merck Sharp And Dohme Corp	-gliptin	dipeptidyl aminopeptidase-IV inhibitors	-gliptin	2005	2006	A10BH01	A10BH01 [Alimentary Tract And Metabolism:Drugs Used In Diabetes:Blood Glucose Lowering Drugs, Excl. Insulins:Dipeptidyl peptidase 4 (DPP-4) inhibitors]		Synthetic Small Molecule	Y	N	Single Stereoisomer	N	Y	N	N	N	Prescription-only	N[C@@H](CC(=O)N1CCn2c(C1)nnc2C(F)(F)F)Cc3cc(F)c(F)cc3F
188815	CHEMBL1166	Argatroban (BAN, FDA, INN, JAN, USAN)	4	DK-7419; GN-1600; Gn1600; MCI-9038; MD-805	Sandoz Inc; Pfizer Inc; Hikma Pharm Co Ltd; Eagle Pharmaceuticals Inc	-troban	antithrombotics (thromboxane A2 receptor antagonists)	-troban	1997	2000	B01AE03	B01AE03 [Blood And Blood Forming Organs:Antithrombotic Agents:Antithrombotic Agents:Direct thrombin inhibitors]	Anticoagulant	Synthetic Small Molecule	N	N	Racemic Mixture	N	N	Y	N	N	Prescription-only	C[C@@H]1CCN([C@H](C1)C(=O)O)C(=O)[C@H](CCCNC(=N)N)NS(=O)(=O)c2cccc3CC(C)CNc23
1125	CHEMBL20	Acetazolamide (BAN, FDA, INN, JAN, USP); Acetazolamide Sodium (FDA, JAN)	4		Teva Womens Health Inc; Duramed Pharmaceuticals Inc Sub Barr Laboratories Inc	-zolamide	carbonic anhydrase inhibitors	-zolamide		1953	S01EC01	S01EC01 [Sensory Organs:Ophthalmologicals:Antiglaucoma Preparations And Miotics:Carbonic anhydrase inhibitors]	Carbonic Anhydrase Inhibitor	Synthetic Small Molecule	Y	N	Achiral Molecule	N	Y	Y	N	Y	Prescription-only	CC(=O)Nc1nnc(s1)S(=O)(=O)N
64200	CHEMBL849	Triclosan (BAN, FDA, INN, USAN, USP)	4	CH-3565; DNDI1246774	Colgate Palmolive				1972	1997	D09AA06; D08AE04	D09AA06 [Dermatologicals:Medicated Dressings:Medicated Dressings:Medicated dressings with antiinfectives]; D08AE04 [Dermatologicals:Antiseptics And Disinfectants:Antiseptics And Disinfectants:Phenol and derivatives]	Disinfectant	Synthetic Small Molecule	N	N	Achiral Molecule	N	N	N	Y	N	Over-The-Counter	Oc1cc(Cl)ccc1Oc2ccc(Cl)cc2Cl
110435	CHEMBL997	Ibandronate Sodium (FDA, USAN); Ibandronic Acid (BAN, INN)	4	BM 21.0955; BM-21.0955	Hoffmann La Roche Inc	-andr-	androgens	-andr-	1997	2003	M05BA06	M05BA06 [Musculo-Skeletal System:Drugs For Treatment Of Bone Diseases:Drugs Affecting Bone Structure And Mineralization:Bisphosphonates]	Antihypercalcemic; Bone Resorption Inhibitor	Synthetic Small Molecule	Y	N	Achiral Molecule	N	Y	Y	N	N	Prescription-only	CCCCCN(C)CCC(O)(P(=O)(O)O)P(=O)(O)O
328601	CHEMBL198362	Rivaroxaban (FDA, INN, USAN)	4	BAY-59-7939	Janssen Pharmaceuticals Inc	-xaban	antithrombotic: blood coagulation factor XA inhibitors	-xaban	2006	2011	B01AF01	B01AF01 [Blood And Blood Forming Organs:Antithrombotic Agents:Antithrombotic Agents:Direct factor Xa inhibitors]		Synthetic Small Molecule	Y	Y	Single Stereoisomer	N	Y	N	N	Y	Prescription-only	Clc1ccc(s1)C(=O)NC[C@H]2CN(C(=O)O2)c3ccc(cc3)N4CCOCC4=O
717	CHEMBL409	Bicalutamide (BAN, FDA, USAN, INN)	4	ICI-176334	Astrazeneca Uk Ltd	-lutamide	non-steroid antiandrogens	-lutamide	1994	1995	L02BB03	L02BB03 [Antineoplastic And Immunomodulating Agents:Endocrine Therapy:Hormone Antagonists And Related Agents:Anti-androgens]	Antineoplastic	Synthetic Small Molecule	Y	N	Racemic Mixture	N	Y	N	N	N	Prescription-only	CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc2ccc(C#N)c(c2)C(F)(F)F
43261	CHEMBL766	Cilastatin (BAN, INN); Cilastatin Sodium (FDA, USP, JAN, USAN)	4	MK-791	Merck And Co Inc	-stat-	enzyme inhibitors	-stat-	1984	1985			Enzyme Inhibitor	Synthetic Small Molecule	Y	N	Single Stereoisomer	N	N	Y	N	N	Prescription-only	CC1(C)C[C@@H]1C(=O)N\C(=C/CCCCSC[C@H](N)C(=O)O)\C(=O)O
361469	CHEMBL1421	Dasatinib (FDA, INN, USAN)	4	BMS-354825; BMS-354825-03	Bristol Myers Squibb Co	-tinib	tyrosine kinase inhibitors	-tinib	2005	2006	L01XE06	L01XE06 [Antineoplastic And Immunomodulating Agents:Antineoplastic Agents:Other Antineoplastic Agents:Protein kinase inhibitors]		Synthetic Small Molecule	Y	Y	Achiral Molecule	N	Y	N	N	N	Prescription-only	Cc1nc(Nc2ncc(s2)C(=O)Nc3c(C)cccc3Cl)cc(n1)N4CCN(CCO)CC4
73547	CHEMBL877	Tranexamic Acid (BAN, INN, JAN, USAN, FDA)	4	CL-65336; Trans Amcha	Pharmacia And Upjohn Co; Ferring Pharmaceuticals As				1967	1986	B02AA02	B02AA02 [Blood And Blood Forming Organs:Antihemorrhagics:Antifibrinolytics:Amino acids]	Hemostatic	Synthetic Small Molecule	Y	N	Single Stereoisomer	N	Y	Y	N	N	Prescription-only	NC[C@@H]1CC[C@H](CC1)C(=O)O
127755	CHEMBL1046	Aminocaproic Acid (BAN, INN, USAN, USP, FDA); epsilon-Aminocaproic Acid (JAN)	4	177 J.D; CL-10304; CY-116; EACA	Clover Pharmaceuticals Corp; Baxter Healthcare Corp Anesthesia And Critical Care				1963	1964	B02AA01	B02AA01 [Blood And Blood Forming Organs:Antihemorrhagics:Antifibrinolytics:Amino acids]	Hemostatic	Synthetic Small Molecule	Y	N	Achiral Molecule	N	Y	Y	N	N	Prescription-only	NCCCCCC(=O)O
16847	CHEMBL578	Enalapril (BAN, INN); Enalapril Maleate (FDA, USP, JAN, USAN)	4		Valeant International Barbados Srl; Biovail Laboratories Inc; Astrazeneca Pharmaceuticals Lp	-pril	antihypertensives (ACE inhibitors)	-pril	1981	1985	C09AA02	C09AA02 [Cardiovascular System:Agents Acting On The Renin-Angiotensin System:Ace Inhibitors, Plain:ACE inhibitors, plain]	Antihypertensive	Synthetic Small Molecule	Y	N	Single Stereoisomer	Y	Y	N	N	Y	Prescription-only	CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N2CCC[C@H]2C(=O)O
70674	CHEMBL870	Alendronic Acid (BAN, INN); Alendronate Sodium (USP, USAN, FDA)	4	G-704650; MK-217	Mission Pharmacal Co; Merck And Co Inc				1990	1995	M05BA04	M05BA04 [Musculo-Skeletal System:Drugs For Treatment Of Bone Diseases:Drugs Affecting Bone Structure And Mineralization:Bisphosphonates]	Bone Resorption Inhibitor	Synthetic Small Molecule	N	N	Achiral Molecule	N	Y	N	N	N	Prescription-only	NCCCC(O)(P(=O)(O)O)P(=O)(O)O
860	CHEMBL411	Diethylstilbestrol (BAN, FDA, INN, USP)	4		Eli Lilly And Co; Bristol Myers Squibb	-estr-	estrogens	-estr-		1973	L02AA01; G03CB02; G03CC05	L02AA01 [Antineoplastic And Immunomodulating Agents:Endocrine Therapy:Hormones And Related Agents:Estrogens]; G03CB02 [Genito Urinary System And Sex Hormones:Sex Hormones And Modulators Of The Genital System:Estrogens:Synthetic estrogens, plain]; G03CC05 [Genito Urinary System And Sex Hormones:Sex Hormones And Modulators Of The Genital System:Estrogens:Estrogens, combinations with other drugs]	Estrogen	Synthetic Small Molecule	N	N	Achiral Molecule	N	Y	Y	Y	N	Discontinued	CC\C(=C(\CC)/c1ccc(O)cc1)\c2ccc(O)cc2
410802	CHEMBL192	Sildenafil (BAN, INN); Sildenafil Citrate (FDA, USAN)	4	UK-9248010; UK-92480-10; UK-92480	Pfizer Ireland Pharmaceuticals; Pfizer Inc	-afil	PDE5 inhibitors	-afil	1997	1998	G04BE03	G04BE03 [Genito Urinary System And Sex Hormones:Urologicals:Urologicals:Drugs used in erectile dysfunction]	Impotence Therapy	Synthetic Small Molecule	Y	N	Achiral Molecule	N	Y	Y	N	Y	Prescription-only	CCCc1nn(C)c2C(=O)NC(=Nc12)c3cc(ccc3OCC)S(=O)(=O)N4CCN(C)CC4
444750	CHEMBL1560	Captopril (BAN, FDA, INN, JAN, USAN, USP)	4	SQ-14225	Par Pharmaceutical Inc; Apothecon Inc Div Bristol Myers Squibb	-pril	antihypertensives (ACE inhibitors)	-pril	1978	1981	C09AA01	C09AA01 [Cardiovascular System:Agents Acting On The Renin-Angiotensin System:Ace Inhibitors, Plain:ACE inhibitors, plain]	Antihypertensive; Enzyme Inhibitor (angiotensin-converting)	Synthetic Small Molecule	Y	N	Single Stereoisomer	N	Y	N	N	Y	Prescription-only	C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O
417180	CHEMBL1487	Atorvastatin (BAN, INN); Atorvastatin Calcium (FDA, USAN)	4	CI-981	Pfizer Inc	-stat-	enzyme inhibitors: antihyperlipidemics (HMG-CoA inhibitors)	-stat- (-vastatin)	1994	1996	C10AA05	C10AA05 [Cardiovascular System:Lipid Modifying Agents:Lipid Modifying Agents, Plain:HMG CoA reductase inhibitors]	Inhibitor (HMG-CoA reductase)	Synthetic Small Molecule	N	N	Single Stereoisomer	N	Y	N	N	N	Prescription-only	CC(C)c1c(C(=O)Nc2ccccc2)c(c3ccccc3)c(c4ccc(F)cc4)n1CC[C@@H](O)C[C@@H](O)CC(=O)O
469690	CHEMBL1624	Levothyroxine Sodium (FDA, INN, JAN, USP); Thyroxine (BAN)	4		Institut Biochimique Sa Ibsa; Fresenius Kabi Usa Llc; Alara Pharmaceutical Corporation; Abbvie Inc; Institute Biochimique Sa (Ibsa)					2000	H03AA01	H03AA01 [Systemic Hormonal Preparations, Excl. :Thyroid Therapy:Thyroid Preparations:Thyroid hormones]	Thyroid Hormone	Synthetic Small Molecule	N	N	Single Stereoisomer	N	Y	Y	N	Y	Prescription-only	N[C@@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O
9372	CHEMBL502	Donepezil (BAN, INN); Donepezil HCl (USAN, FDA)	4	BNAG; E-2020; E2020	Eisai Inc	-pezil	acetylcholinesterase inhibitors used in the treatment of Alzheimers disease	-pezil	1997	1996	N06DA02	N06DA02 [Nervous System:Psychoanaleptics:Anti-Dementia Drugs:Anticholinesterases]	Alzheimer's Disease Treatment (adjunct); Cognition Adjuvant; Dementia Symptoms Treatment Adjunct; Inhibitor (acetylcholinesterase)	Synthetic Small Molecule	Y	N	Racemic Mixture	N	Y	N	N	N	Prescription-only	COc1cc2CC(CC3CCN(Cc4ccccc4)CC3)C(=O)c2cc1OC
367860	CHEMBL221959	Tofacitinib (INN, USAN); Tofacitinib Citrate (FDA, USAN)	4	550; CP-690; CP-690550; CP-690550-10	Pfizer Inc; Pfizer	-tinib	tyrosine kinase inhibitors	-tinib	2010	2012	L04AA29	L04AA29 [Antineoplastic And Immunomodulating Agents:Immunosuppressants:Immunosuppressants:Selective immunosuppressants]		Synthetic Small Molecule	Y	N	Single Stereoisomer	N	Y	N	N	Y	Prescription-only	C[C@@H]1CCN(C[C@@H]1N(C)c2ncnc3[nH]ccc23)C(=O)CC#N
15990	CHEMBL559	Dextrothyroxine Sodium (FDA, USP, INN, USAN); Dextrothyroxine (BAN); T4 (FDA)	4		Parke Davis Div Warner Lambert Co; Forest Laboratories Inc; Abbvie Inc				1962	1967	C10AX01	C10AX01 [Cardiovascular System:Lipid Modifying Agents:Lipid Modifying Agents, Plain:Other lipid modifying agents]	Antihyperlipidemic	Synthetic Small Molecule	N	N	Single Stereoisomer	N	Y	N	N	N	Prescription-only	N[C@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O
62111	CHEMBL288441	Bosutinib Monohydrate (FDA); Bosutinib (INN, USAN)	4	SKI-606	Wyeth Pharmaceuticals Inc	-tinib	tyrosine kinase inhibitors	-tinib	2005	2010	L01XE14	L01XE14 [Antineoplastic And Immunomodulating Agents:Antineoplastic Agents:Other Antineoplastic Agents:Protein kinase inhibitors]		Synthetic Small Molecule	N	N	Achiral Molecule	N	Y	N	N	N	Prescription-only	COc1cc(Nc2c(cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)C#N)c(Cl)cc1Cl
360723	CHEMBL385517	Saxagliptin HCl (FDA); Saxagliptin (INN, USAN)	4	BMS-477118; BMS-477118-11	Bristol-Myers Squibb; Bristol Myers Squibb Co; Bristol Myers Squibb	-gliptin	dipeptidyl aminopeptidase-IV inhibitors	-gliptin	2007	2009	A10BH03	A10BH03 [Alimentary Tract And Metabolism:Drugs Used In Diabetes:Blood Glucose Lowering Drugs, Excl. Insulins:Dipeptidyl peptidase 4 (DPP-4) inhibitors]		Synthetic Small Molecule	Y	N	Racemic Mixture	N	Y	N	N	N	Prescription-only	N[C@H](C(=O)N1[C@@H](C[C@@H]2C[C@H]12)C#N)C34CC5CC(CC(O)(C5)C3)C4
16759	CHEMBL577	Enalaprilat (BAN, FDA, INN, USAN, USP)	4	MK-422; MK-421	Biovail Laboratories International Srl	-prilat	antihypertensives (ACE inhibitors) (diacid analogs of the -pril entity)	-prilat	1984	1988			Antihypertensive	Synthetic Small Molecule	Y	N	Single Stereoisomer	N	N	Y	N	Y	Prescription-only	C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N2CCC[C@H]2C(=O)O
230659	CHEMBL1237	Lisinopril (USP, BAN, FDA, INN, JAN, USAN)	4	MK-521	Merck Research Laboratories Div Merck Co Inc; Astrazeneca Uk Ltd	-pril	antihypertensives (ACE inhibitors)	-pril	1984	1987	C09AA03	C09AA03 [Cardiovascular System:Agents Acting On The Renin-Angiotensin System:Ace Inhibitors, Plain:ACE inhibitors, plain]	Antihypertensive	Synthetic Small Molecule	Y	N	Single Stereoisomer	N	Y	N	N	Y	Prescription-only	NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N2CCC[C@H]2C(=O)O
14805	CHEMBL554	Lapatinib Ditosylate (FDA, USAN); Lapatinib (INN)	4	GW572016F	SmithKline Beecham Corp Dba GlaxoSmithKline	-tinib	tyrosine kinase inhibitors	-tinib	2003	2007	L01XE07	L01XE07 [Antineoplastic And Immunomodulating Agents:Antineoplastic Agents:Other Antineoplastic Agents:Protein kinase inhibitors]		Synthetic Small Molecule	N	N	Achiral Molecule	N	Y	N	N	Y	Prescription-only	CS(=O)(=O)CCNCc1oc(cc1)c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2
83838	CHEMBL924	Zoledronic Acid (BAN, INN, USAN, FDA); Zoledronate Disodium (USAN); Zoledronate Trisodium (USAN)	4	CGP-42446; CGP-42446A; CGP-42446B	Novartis Pharmaceuticals Corp; Ciba-Geigy				1996	2001	M05BA08	M05BA08 [Musculo-Skeletal System:Drugs For Treatment Of Bone Diseases:Drugs Affecting Bone Structure And Mineralization:Bisphosphonates]	Osteoporosis Therapy Adjunct; Bone Resorption Inhibitor	Synthetic Small Molecule	Y	N	Achiral Molecule	N	N	Y	N	N	Prescription-only	OC(Cn1ccnc1)(P(=O)(O)O)P(=O)(O)O
82721	CHEMBL916	Tirofiban (BAN, INN); Tirofiban HCl (USAN, FDA)	4	L-700462; MK-383	Medicure International Inc	-fiban	fibrinogen receptor antagonists (glycoprotein IIb/IIIa receptor antagonists)	-fiban	1994	1998	B01AC17	B01AC17 [Blood And Blood Forming Organs:Antithrombotic Agents:Antithrombotic Agents:Platelet aggregation inhibitors excl. heparin]	Treatment of Unstable Angina	Synthetic Small Molecule	Y	N	Single Stereoisomer	N	N	Y	N	N	Prescription-only	CCCCS(=O)(=O)N[C@@H](Cc1ccc(OCCCCC2CCNCC2)cc1)C(=O)O
433015	CHEMBL1544	Liothyronine (BAN, INN); T3 (Liotrix) (FDA); Liothyronine Sodium (FDA, USP, BAN, JAN); Liothyronine (125I) (USAN); Liothyronine (131I) (USAN)	4		Jhp Pharmaceuticals Llc; Forest Laboratories Inc; Bristol-Myers Squibb; Abbott; Parke Davis Div Warner Lambert Co				1963	1956	H03AA02	H03AA02 [Systemic Hormonal Preparations, Excl. :Thyroid Therapy:Thyroid Preparations:Thyroid hormones]	Thyroid Hormone; Radioactive Agent	Synthetic Small Molecule	N	N	Single Stereoisomer	N	Y	Y	N	Y	Prescription-only	N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O
602271	CHEMBL601719	Crizotinib (FDA, INN, USAN)	4	PF-2341066	Pfizer Inc	-tinib	tyrosine kinase inhibitors	-tinib	2009	2011	L01XE16	L01XE16 [Antineoplastic And Immunomodulating Agents:Antineoplastic Agents:Other Antineoplastic Agents:Protein kinase inhibitors]		Synthetic Small Molecule	Y	Y	Single Stereoisomer	N	Y	N	N	N	Prescription-only	C[C@@H](Oc1cc(cnc1N)c2cnn(c2)C3CCNCC3)c4c(Cl)ccc(F)c4Cl
426660	CHEMBL255863	Nilotinib (USAN, INN); Nilotinib Hydrochloride Monohydrate (FDA)	4	AMN-107	Novartis Pharmaceuticals Corp	-tinib	tyrosine kinase inhibitors	-tinib	2006	2007	L01XE08	L01XE08 [Antineoplastic And Immunomodulating Agents:Antineoplastic Agents:Other Antineoplastic Agents:Protein kinase inhibitors]		Synthetic Small Molecule	N	N	Achiral Molecule	N	Y	N	N	Y	Prescription-only	Cc1cn(cn1)c2cc(NC(=O)c3ccc(C)c(Nc4nccc(n4)c5cccnc5)c3)cc(c2)C(F)(F)F
276734	CHEMBL1336	Sorafenib (USAN, INN); Sorafenib Tosylate (FDA, USAN)	4	BAY-43-9006; BAY-54-9085	Bayer Healthcare Pharmaceuticals Inc; Bayer Healthcare Ag	-rafenib	raf kinase inhibitors	-rafenib	2007	2005	L01XE05	L01XE05 [Antineoplastic And Immunomodulating Agents:Antineoplastic Agents:Other Antineoplastic Agents:Protein kinase inhibitors]		Synthetic Small Molecule	Y	N	Achiral Molecule	N	Y	N	N	N	Prescription-only	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1
377721	CHEMBL376359	Alogliptin Benzoate (FDA, USAN); Alogliptin (INN)	4	SYR-322	Takeda Pharmaceuticals Usa Inc	-gliptin	dipeptidyl aminopeptidase-IV inhibitors	-gliptin	2008	2013	A10BH04	A10BH04 [Alimentary Tract And Metabolism:Drugs Used In Diabetes:Blood Glucose Lowering Drugs, Excl. Insulins:Dipeptidyl peptidase 4 (DPP-4) inhibitors]		Synthetic Small Molecule	Y	N	Single Stereoisomer	N	Y	N	N	N	Prescription-only	CN1C(=O)C=C(N2CCC[C@@H](N)C2)N(Cc3ccccc3C#N)C1=O
495109	CHEMBL1655	Toremifene (BAN, INN); Toremifene Citrate (FDA, USAN)	4	FC-1157a	Gtx Inc	-ifen(e)	antiestrogens of the clomifene and tamoxifen groups	-ifen(e)	1988	1997	L02BA02	L02BA02 [Antineoplastic And Immunomodulating Agents:Endocrine Therapy:Hormone Antagonists And Related Agents:Anti-estrogens]	Anti-Estrogen; Antineoplastic	Synthetic Small Molecule	N	N	Achiral Molecule	Y	Y	N	N	Y	Prescription-only	CN(C)CCOc1ccc(cc1)\C(=C(\CCCl)/c2ccccc2)\c3ccccc3
366274	CHEMBL218490	Dorzolamide (BAN, INN); Dorzolamide HCl (FDA, USP, USAN)	4	MK-507	Merck Sharp And Dohme Corp; Merck Research Laboratories Div Merck Co Inc	-zolamide	carbonic anhydrase inhibitors	-zolamide	1992	1994	S01EC03	S01EC03 [Sensory Organs:Ophthalmologicals:Antiglaucoma Preparations And Miotics:Carbonic anhydrase inhibitors]	Carbonic Anhydrase Inhibitor	Synthetic Small Molecule	Y	N	Single Stereoisomer	N	N	N	Y	N	Prescription-only	CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(cc12)S(=O)(=O)N
