# 2014/04/28 - 13:26
SP_PRIMARY,PDB
A0QVS8,3nwo
A0QWG6,2gej;2gek
A0QWJ0,3oks
A0QWN3,4o2d
A0QWX6,3oc6
A0QX37,3nxs
A0QXB7,2z90;4m32;4m33;4m34;4m35
A0QXD6,4egf
A0QXM5,3h96
A0QXP8,3f7e
A0QY29,3sxn
A0QY79,3bkn
A0QYQ0,3r20
A0QZ23,4j5i
A0QZY0,3c8z
A0R066,3dtf;3dtg;3jz6
A0R0G0,3rxz
A0R1H6,3gwm
A0R1H7,3zen;4b3y;4bjd;4bje;4bjf;4bjg
A0R1R4,3ome
A0R291,3o0m
A0R2B1,2xt6;2xt9;2xta;2y0p;2yic;2yid;3zhq;3zhr;3zhs;3zht;3zhu;3zhv
A0R2E9,3qua
A0R2I8,2grv
A0R2U8,3rd8
A0R2U9,2vjw;2vks
A0R2V4,2ymv
A0R351,3rq0
A0R3D3,2lgj;3kjz;3kk0;3p2j
A0R3E2,2x1l;2x1m
A0R3F9,4oll;4onu;4orf
A0R3J1,3oib;3p4t
A0R3M0,4egv
A0R4I6,4nle
A0R4P1,4kzp
A0R4Q6,2yoo;3zby
A0R4R9,3ucx
A0R4Z8,3o38
A0R559,2uzh
A0R560,2xwl;2xwm
A0R5B5,3vdg;3vfc
A0R5U2,3r9b;3r9c
A0R5U7,2q0q;2q0s
A0R607,4aut;4f4q;4g3t;4g3u
A0R619,3aja
A0R6D0,2wzv;2wzw
A0R6E0,3zo9;3zoa
A0R6I8,4jkz;4jl3
A0R6V6,3swo
A0R731,3uid
A0R747,3moy
A0RD96,3l8d
A0REX4,3smd
A0S864,2h7z
A0S865,2h7z
A0SP16,4n6q;4n6r
A0T1L9,2i1j;2i1k
A0ZPR8,2ckx
A0ZPR9,3ce1
A0ZT93,2zib
A0ZZM4,3fjy
A0ZZZ7,3onq
A1A0I0,3i8b
A1A237,3cym
A1A2B5,3luy
A1A2L3,3e0f;3o0f
A1A3G9,3cpg
A1A4S6,2mio
A1A7Y6,4e9l
A1AA28,3dku;3shd
A1ABQ0,3df4
A1AGC4,3df4
A1AGI7,2ykr;3df1
A1AGI9,2ykr
A1AGK1,3df4
A1AGK2,2ykr;3df3
A1AGK4,3df3
A1AGM8,3df3
A1AGW2,2r4t
A1AY86,3h16
A1AYL4,3n4e;4dwd
A1B060,2p4x;2r31;2zd2
A1B198,4e8g;4izg;4j1o
A1B602,2ll0;2mdz
A1B7S1,3fa5
A1B956,4grx
A1B9E3,3u7r
A1BB97,3l4m;3l4o;3orv;3pxs;3pxt;3pxw;3rlm;3rmz;3rn0;3rn1;3sjl;3sle;3svw;3sws;3sxt;4fa1;4fa4;4fa5;4fa9;4fan;4fav;4fb1;4k3i;4l1q;4l3g;4l3h;4o1q
A1BBA0,3l4m;3l4o;3rn1;3sjl;3sle;3svw;3sws;3sxt;4l1q;4l3g;4l3h;4o1q
A1C3L3,2kub;2x12;3rgu
A1CII2,3k5h;3k5i
A1DN10,4ld7
A1DRD5,3nqx;3nqy;3nqz
A1E266,2iq7
A1E4A3,3zv8;3zv9;3zva;3zvb;3zvc;3zvd;3zve;3zvf;3zvg
A1E8J1,3fan;3fao
A1E9A6,3fw6;3ii1
A1EKV2,3zri;3zrj
A1EKW0,3zrj
A1F5A6,2ijy
A1F928,2pbx
A1IIX4,3w5s
A1ILL9,3sal;3san;3ti8
A1IQS5,2jr6
A1IRD3,2opd;2ope
A1IRD6,3jtx
A1JJ76,3uw0
A1JJJ6,2vh2
A1JJJ9,3nzk
A1JLH5,1xvx
A1JMA5,3pe7
A1JQU0,4fle
A1JRF3,3lm7
A1JSR8,3nkz
A1JSS7,2jd9;2jda
A1JSS8,2v8i;2v8j;2v8k
A1JTG0,4gmf;4gmg
A1JUB7,2lme
A1JUG2,2nxx
A1JUG3,2nxx
A1K2B7,4oc8
A1KQS1,4kc5
A1KRL1,4i83
A1KSW9,3bf2
A1KUS8,4ien
A1KVD0,2f46
A1KVU8,4m86;4m87;4m89
A1KYE3,3csx
A1L0Z0,2zxm;2zxn;3afr
A1L259,2o70;2o73;2o74
A1L565,4f7c;4f7e
A1R0W1,3rha
A1R118,3mwb
A1R3U3,3rys
A1R4M8,3iuk
A1R6X9,3nze
A1R8G0,3rhf
A1R958,4atp;4atq
A1RA60,2ldk
A1RAA6,4mou
A1RB88,3obf
A1RBZ5,3rcn
A1RHE3,3myf
A1RHE8,3rpd
A1RUM9,3vtf
A1S1Q5,3rh2
A1S319,2l6o
A1S356,3fmc
A1S3D0,3hsa
A1S3H7,2qvp
A1S420,3iib
A1S4A6,3i7a
A1S6W5,3bos;3sc3
A1S8W8,2pv4
A1S9Q7,3ke2
A1SAQ1,3mw8
A1SBA1,3m1t
A1SPF2,4mym
A1SR01,4hs5
A1T351,2qwt
A1TSQ3,4hwv
A1TY67,4n0v
A1TY68,3o14
A1TYC0,3mem
A1TZ69,3f7c
A1TZQ9,3lyh
A1U0I5,3pas
A1U1C4,3ohe
A1U3A9,3k2q
A1U3W3,3ign
A1U4G2,4k3w
A1U4R9,3h9w
A1U5H9,3p9v
A1U6M1,3nnr
A1U6U7,3rh9
A1V9T4,3iwa
A1VXZ7,3d6x
A1VZ59,3rf1
A1VZX2,3uau
A1W1C2,3zx1
A1W1R1,3lzl;3lzn;3lzo;3lzp;3lzq;3lzr
A1WL96,4m88
A1WU94,3ibm
A1WUH0,2vxa
A1X1V8,3pis;3qtl
A1XDS9,4dh4
A1XQQ8,2pnl
A1XQR0,2pnm
A1YIY3,3p4g;4kdv;4kdw
A1YNH3,2pjv
A1YNW7,4kht;4khx
A1YTN0,3rjs
A1YYW7,3q3q
A1YZP4,3bcq
A1Z093,2qv1
A1Z1Q3,4iqy
A1Z651,3nr6;3p1g;4e89;4hkq
A1Z6E0,2fnj;2ihs
A1Z9P3,3thf
A1ZAW5,1vu2;1vu3;4f77;4f7u
A1ZB14,4hp4
A1ZBK7,2l95
A1ZBM2,2kjr
A2A114,4apl
A2A136,2j2m
A2A8L5,3pxh
A2ALD9,2jtn
A2AR50,2dtc
A2ASQ1,3pve
A2BLH2,2lvs
A2CG49,1wfw
A2D9X4,3zqc
A2E7Y6,2i4t;2isc
A2EGX9,3qsr
A2FEV4,1e5e
A2FT29,3qst
A2I2W2,3h8t
A2IC68,3zpd;4buq
A2KD57,2p49;2p4a;4laj
A2KD59,1qd0;2x89
A2N494,3dur
A2NAI0,2apb;2apf;2apt;2apv;2apw;2apx
A2NHM3,1cbv;1f3d;1lo0;1m71;1m7d;1m7i;1mnu;1mpa;1nbv;1plg;1pz5;1qfu;1t2q;1zea;2a1w;2dqt;2dqu;2dtm;2ipt;2ipu;2iqa;2mpa;2ojz;2ok0;2r0w;2r0z;3bae;3bkc;3bkj;3bkm;3bqu;3eys;3eyu;3uo1;3uyr;3v4u;3v52;4f37;4hdi
A2NI60,2q1e
A2NN81,2otu
A2NTU7,2e7l
A2NTY6,2e7l;2icw;2oi9;2pxy;2z31;2z35;3e2h
A2NU21,2r1w;2r1x;2r1y;3dur;3dus;3duu;3dv4;3dv6
A2NUE8,2ajv;2ajz
A2NUT2,3zl4;4m1d
A2NUW5,4ndm
A2P1G9,1cgs;1ynk;2cgr
A2Q6L5,1u58
A2RI36,3f8b;3f8c;3f8f
A2RIP9,4bnd
A2RJ53,3drf;3drg;3drh;3dri;3drj;3drk;3fto;3rya;3ryb
A2RJT9,1dor;1jqv;1jqx;1jrb;1jrc;1jub;1jue;1ovd;2bsl;2bx7;2dor
A2RMJ9,4dve
A2RP81,3znw
A2RQE2,2ea3
A2RUC4,3al5;3al6
A2SI32,4faz
A2SJH7,3pl0
A2SL15,3g16
A2SL37,4fdx
A2SQK8,3lmc
A2TBB4,2gfi
A2TC31,2i7f
A2TC87,2gbw;2gbx
A2TC88,2gbw;2gbx
A2TEF2,3l4d
A2TLS9,3pig;3pij
A2TM14,4hpg
A2V759,2ek8;2ek9
A2V8B8,3l9a
A2YPH1,4jho;4jie
A3CLZ4,4n83
A3CNR0,4mzw
A3CR20,4n82
A3CS79,3c3m
A3CUL0,3cmb
A3CWV0,4hyc;4hyd;4hyg
A3CYS0,3ce8
A3CZ62,3u99
A3D088,3blz
A3D092,3hmz
A3D5G6,2ra9
A3D7B7,2q9r
A3D842,3ieh
A3D8P6,3dkq
A3DBC8,3kmv
A3DBH1,4b9c
A3DC27,4b9p
A3DC29,1cem;1is9;1kwf
A3DC45,4aou
A3DCA4,1y6j
A3DCH2,3pdd;3pdg;3pe9
A3DCJ4,2xqo;4dh2
A3DCL1,4dh2
A3DCZ0,3jte
A3DD25,2k5l
A3DD30,1wmx;1wzx;2c26;2e0p;2eex;2ej1;2eqd
A3DD67,3vsf;3vsz;3vt0;3vt1;3vt2
A3DDA2,3eey
A3DDB7,1xho
A3DDK4,2vpt
A3DDN1,4fl4
A3DDQ3,1yby
A3DDY9,2hq1
A3DF10,2b59;3kcp
A3DF72,1xqu
A3DFK9,3ged;3geg
A3DGR1,1xma
A3DH25,2lwy
A3DHB8,1ybx
A3DHG6,2y8k;3mpc
A3DHJ7,1zgh
A3DHS7,3ijd
A3DHT5,2kzx
A3DIH0,2c7f;2c8n
A3DIL8,3he8;3hee;3ph3;3ph4
A3DJ21,3ut4;3ut7;3ut8
A3DJ30,2wnx;2wo4;2wob
A3DJ37,3jwg;3jwi;4dqz;4drf;4e6n
A3DJ38,3ty5;3ty8;3ty9;4drf;4e6n;4gp6;4gp7;4j6o;4jst;4jsy;4jt2;4jt4;4mde;4mdf
A3DJ68,1xrg
A3DJ82,2yik
A3DK02,3lua
A3DK08,2k53
A3DK57,2w1w;2w47
A3DM60,4aee
A3DQM7,4m40;4m44
A3E0V9,2lus
A3E7Z7,3awj;3awk
A3EP82,3omd
A3EQP6,3ttg
A3ER16,3mqz
A3ESP1,3o2i
A3ESP9,3m6j
A3EUC6,3na2
A3EYF7,2yku;2ykv;2ykx;2yky;4ao4
A3F986,2q3i;2q5u;2q7c
A3F9D6,2e9e;2efb;2eha;2ojv;2r5l;3n8f;3nak;3niu;3qf1;3r55;3rke;3sxv;4ig5;4ljj;4msf;4n7a;4oek
A3FEV7,2ewf
A3FEV8,2p14
A3FJ64,4j5f;4j5h
A3FMN7,2vla
A3FNZ8,2p5q;2p5r
A3FQ16,2wei;3dfa;3igo;3mwu;3ncg
A3FQ68,2poe;2qer
A3FQ69,2q2g
A3FQ79,3oz6
A3FQA7,2plu;2poy
A3FQN0,3eb0
A3GNC8,3sk7
A3H4Z5,3eev
A3LDD1,2lte
A3LEF6,3bre
A3LKR8,3hg9
A3LT82,3tjl;3upw;4df2
A3M4Z0,3pol;4fcu
A3M7S1,3fdu
A3MSH1,4dhd;4gp1;4gp2
A3MTK6,4onb
A3MU08,3w6u;3w6z
A3MUJ4,3aw9;3icp;3ko8
A3MVR4,3zwq
A3MW14,3tbo
A3MWN5,4bql;4cj7
A3MX09,4fp4
A3PUQ5,4f0p;4f0q
A3Q9U7,2l6n
A3QAV3,3nt6;3nta;3ntd
A3QB00,3ky8
A3QB43,3dcx
A3QCW5,4o7m;4oa4
A3QDQ3,3o0l
A3QGX4,3bhn
A3QHM0,2q3l
A3QHM2,3ppb
A3QHR8,2ril
A3QI43,3iic
A3QIY5,3gzi
A3QJE4,2gpi
A3QJH3,2prx
A3QMF6,3f41
A3R4N3,3s7v
A3RI37,2kvz
A3SHZ8,3bvc
A3SMJ4,3u4f
A3SNF7,2qdd;3fvd
A3SNF8,2rdx
A3SNG0,2pce;3fv9
A3SNG1,4b29
A3SSE3,3t4w
A3STM0,4gf0
A3SUL8,3vou
A3T0D1,4nx1;4ovp
A3TPB6,4eun
A3UM69,2rk9
A3WM10,3bq9
A3XHN1,3bg2
A3YCB7,4f62
A3ZGU7,3pfi
A4AFX2,3msy;3no1;4h83
A4D0H5,2wes;2wet;2weu
A4DA29,2x8r
A4F1R4,3wc4
A4F255,2qad
A4F7P2,2yjn
A4F7P3,2yjn
A4FS04,2osh
A4FTK7,4hob
A4GD96,2okb;2okd;2oke;2ol0;2ol1
A4GE69,2eg5
A4GE70,2efj
A4GRB2,3l6n
A4GRE3,2os5;3rf4;3rf5
A4GWL5,2omx
A4GWM6,2omt
A4GX63,3d8k
A4HE05,1x6o
A4HFB4,3ch7;3css
A4HRG8,3r2j
A4HSF7,2jk6;2w0h;2x50;2yau;4adw;4apn
A4HWV2,3qw3
A4I8P2,4ags
A4IDL0,4ix8
A4IFT3,3rg1
A4II00,2d5v
A4IK89,4ok9;4okq
A4IKE4,3zbh
A4IKE6,2ynq;4ano
A4IL26,3wko;3wkp;3wkq
A4ILZ1,2kl1
A4IM54,3k94
A4IQU1,4fhc;4fhd;4fhe;4fhf;4fhg;4k9r
A4ITV2,2m1c
A4IU28,3b9n;3b9o
A4IYN5,4m8l
A4JBA9,4i1u;4i1v
A4JL30,4ddo;4f32
A4JS72,2l92
A4KCE5,3lcr
A4KH44,2yiz
A4KI82,2e3j
A4KUC0,4hvm
A4L2N4,3mwn
A4L8F7,3e6h
A4LJP7,3e5y
A4PB64,3ai1;3ai2;3ai3
A4PEU6,4h77;4h7d;4h7e;4h7f;4h7h;4h7i;4h7j;4h7k
A4PHY4,2e1t;2e1u;2e1v
A4PI98,2ea7
A4PIA0,2eaa
A4PIH9,2z16
A4Q8F7,2ixa;2ixb
A4Q998,2p4s
A4QUT2,3ut2
A4SIK7,3hg7
A4SNL2,3luf;3mf4
A4SXU0,4k9q
A4TSJ5,3fww
A4UA16,2gz6
A4UGR9,4f14
A4UTT2,4a7p
A4UWM5,3w94
A4VD76,2xzm;2xzn
A4VVI4,3ban;3bdk;3dbn;3fvm
A4VVQ2,3cxr;3o03
A4VW80,3hvn
A4VY63,3mfq
A4VY75,3re9
A4VZ16,4fz4;4fzq
A4W7D6,3tji
A4WW08,4joq
A4X3Q0,2q6i;2q6k;2q6l;2q6o
A4XDU4,3eby
A4XEC0,3es1
A4XEL3,3c5y
A4XEN7,3b8l
A4XF23,2qjj;2qjm;2qjn;4k1w;4k8g
A4XF70,2rfr
A4XGP2,3wiq;3wir
A4XHQ4,3mtk
A4XRL3,4hn8
A4Y035,2fx5
A4Y1H6,3gxg;3gxh
A4Y1H9,2gpj
A4Y4H5,3gzb
A4YI54,3ve7;3ve9
A4YVM8,3toy;3tte
A4ZDL6,3a2e
A4ZF98,3zez;3zf0;3zf1;3zf2;3zf3;3zf4;3zf5;3zf6
A4ZKE4,4g0b;4g22;4g2m
A4ZPY8,4jn9;4jna;4nte
A4ZQ95,4h2l
A4ZVL3,3jtq;3jtr
A5A3I5,2job
A5A513,2f3w;2pw7;2pyk;2pzw
A5A520,1rkn;2pw5
A5A523,2f3v;2kq3;2pzt;2pzu
A5A5U1,3f5t
A5A665,3zte
A5CLK3,4jcw;4js7;4l48
A5DMN1,3p3d
A5E0V2,4exj
A5E3P5,2kym
A5E437,4ivf
A5E8D2,4n8y
A5EI34,4mf7;4nhz
A5EVD0,3ti7
A5EXI3,3lpa;3lpd
A5F0Q0,4i2n;4i46;4i4n
A5F0R4,3tgv
A5F1K1,2rde
A5F384,3gbg
A5F692,3e9a
A5F6J9,4jp1;4lx8
A5F703,2fck
A5F754,4g7x
A5F8C0,4dtd;4dtf;4dth;4dtl;4e1c;4e1d;4e1f
A5F8G9,4hi1;4hi2
A5FC88,3hzb
A5GZW8,1zoy;1zp0;3abv;3ae1;3ae2;3ae3;3ae4;3ae5;3ae6;3ae7;3ae8;3ae9;3aea;3aeb;3aec;3aed;3aee;3aef;3aeg;3sfd;3sfe
A5H025,4o1o;4o1p
A5H1I6,3civ;4cd6;4cd7;4cd8
A5H660,4bz5;4bz6;4bz7;4bz8;4bz9;4cqf
A5H7H0,3st1
A5HAK0,2vq9
A5HBD5,3s7x
A5HC98,2xi5;2xi7
A5HEI4,2wie
A5HII2,3p5u;3p5v;3p5w;3p5x
A5HMG5,4n6r
A5HUM9,3jvg
A5HZZ9,2w2d;3dse;3k3q;3qix;3qiy;3qiz;3qj0;3qw5;3qw6;3qw7;3qw8;4ej5;4el4;4elc
A5I6N2,3ird
A5IFX1,3sfv;3tkl;4h5y
A5IHF0,3fxd;3fxe;4eyy
A5IKC8,3s2c
A5IKD4,4kc7;4kc8
A5IL00,3niy;3nj3
A5IL44,4dfs
A5IMX7,3pz9;3pzg;3pzi;3pzm;3pzn;3pzo;3pzq
A5J036,4efj
A5JTM5,1jxz;1nzy
A5JUY8,2gjm;2o86;2z5z;3erh;3faq;3fnl
A5JZC2,4jys
A5K000,2gzq
A5K063,2b30
A5K1A2,2ync;2ynd;2yne;4a95;4b10;4b11;4b12;4b13;4b14;4bbh;4cae;4caf
A5K1H0,2o1z
A5K2B2,2a0s;3lx3;3lze;3m0n
A5K3M1,3e15
A5K421,2h66;2i81
A5K4Q6,2qg7
A5K4U6,3cc9;3ez3;3ldw;3mav;3ph7;3rbm;3ryw
A5K709,2qor
A5K867,4iv0
A5K893,2fo3
A5K8X6,2ki3;3ihz;3ni6;3pa7;4itz;4j4o;4mgv
A5K9M4,3emv
A5KBB4,3o4y
A5KBL5,2hvg;2qga
A5KBP6,3b6n
A5KE01,2pgf;2pgr;2qvn;3ewc;3ewd
A5KUH4,3dfh;3r25;3sbf
A5KUH7,4e38
A5LBQ0,2wmi;2wmj;2wmk;2ygl;2ygm
A5LBQ6,2w7y
A5LD17,3vfl;4fha
A5LHX0,2zwi
A5MA43,3c9p
A5MQM5,3guv
A5MSS9,2vsh;2vsi
A5MTN0,3pwk;3pws;3pyl;3pyx;3pzb;3q11
A5N734,3io0
A5PHA6,3gmw
A5PJH9,3ku4;3kuk;3kvr;3kvy
A5TY69,3pvp;3pvv
A5TY84,3ori;3ork;3orl;3orm;3oro;3orp;3ort;3ouv
A5TYW8,3lls
A5TZS3,2kvc
A5U127,2oar
A5U161,3dk5
A5U2B7,3mgz;3mio;3mk5;4i14
A5U493,3dwz
A5U5K3,4g12
A5U7E7,2y8h
A5U9H0,3oj5
A5U9P2,3nof
A5UXJ3,3u9i
A5VAT9,4lxg;4lxh;4lxi;4lyd;4lye
A5VD79,2x8u
A5VGW5,3vb0
A5VMB3,4fay
A5VZA8,4gey;4gf4
A5VZY6,4jbd;4jd7
A5W059,3noj
A5W1A6,4nax
A5W4E9,3ef6;4emi;4emj
A5W4F0,3dqy;4emj
A5W4F1,3en1;3eqq
A5W4F2,3en1;3eqq
A5W4F4,3brz;3bs0
A5WWA0,4c84;4c85
A5Y2E1,4hr1
A5YBL8,4fru;4frv
A5YKK6,4c0d;4cqo;4gmj;4gml;4j8s
A5YV76,2vz8;2vz9
A5YVK8,3bcn
A5Z1Q8,3ob4
A5Z226,1jsm;1jsn;1jso
A5Z5V6,4h09
A5Z657,3nyi
A5Z863,3hlu
A5Z9C0,3fdi
A5Z9E1,3g74
A5ZEW7,4l7a
A5ZFG7,4m8r
A5ZFJ0,3no2
A5ZGS7,4poi
A5ZHK1,4jqr
A5ZK25,3qwn
A5ZLA0,4fd0
A5ZMD8,3frw
A5ZWV4,3dv8
A5ZY13,3m46;3m6d;3mkk;3n04;3nsx;3nuk;3pha;3poc
A6AYI6,3er6
A6B4U8,2kif;2kim
A6B7Q2,3guy
A6BM74,3wj8;4n2x
A6BMJ3,3b1c;3b1d;3b1e
A6CQL2,4nbu
A6DZ31,3rcy
A6E1Q0,3t9p
A6G411,4nbw
A6G7B1,2xt0
A6GV51,4ml1;4ml6
A6H4P1,2qvj
A6H6Y4,3hlp;3huv
A6KX05,3s30
A6KX32,3d33
A6KXB7,4n0r
A6KXE4,3jq1
A6KXE5,3gm8
A6KY15,3g6s
A6KY75,2kta
A6KYC4,3myv
A6KZ44,3dp7
A6KZ57,3s9j
A6KZB0,3lew
A6KZB9,3f1x
A6KZT0,4ler
A6KZY4,2l5l
A6KZZ2,3gux
A6L054,3jys
A6L094,3can
A6L0A6,2lrt
A6L0P5,2l7q
A6L0Y5,3lax
A6L1M8,3k6o
A6L1T5,2lja
A6L2B2,4fmr
A6L2D9,3u22
A6L2F0,4f7a
A6L2G8,4k9z;4ka0
A6L2G9,4grf
A6L2I4,4mjf
A6L2L1,3tzg
A6L326,3jq0
A6L337,3elg
A6L340,3kez
A6L3P9,3dxi
A6L4E1,3kdw
A6L4L1,3due
A6L587,3fyf
A6L5C0,3e7p;3t7r;3t7s;3t7t
A6L615,3e38
A6L6K5,2lrg;3u6g
A6L6W4,2l5q
A6L747,2l01
A6L7K2,3kog
A6L7P8,3dv9
A6L7P9,3g8y
A6L7X2,3ktb
A6L916,3no3
A6L9A1,3imm
A6L9L2,3p1u
A6L9R1,4mcj
A6L9X6,2lg7;2lge
A6LA98,4jm1
A6LAN0,3p94
A6LAZ9,4fo5
A6LB22,3lwx
A6LB40,3kd4
A6LB94,3hbk
A6LBC8,4h3w
A6LBD9,4l8n
A6LBR3,3hn0
A6LC72,3kl7
A6LCG6,3mcp
A6LCL9,4m0h;4m0n
A6LCN0,4o2t
A6LCR1,3m5k
A6LD40,3u1x
A6LD44,4kw2
A6LD74,3p6l
A6LDE6,3u1w
A6LDI0,3ke7
A6LDL3,3l23
A6LDR8,3mdo
A6LE66,3pw3
A6LES9,3s5q
A6LF58,4ecg
A6LF92,3k0y
A6LFX0,3h3l
A6LG40,4fj6
A6LGE3,4fvs
A6LGH6,3lyc
A6LGH7,3ljy
A6LGH9,3jx8
A6LGL1,3lm3
A6LGN3,3taw
A6LH36,3gyc
A6LHD8,3obe
A6LHQ4,3liu
A6LHQ6,4jg5
A6LHQ9,3r4r
A6LHT4,3tc8
A6LHZ0,4jhy
A6LIG9,3lmz
A6LIL3,3kws
A6LIT8,3mz2
A6LIX4,3otn
A6LX94,3i9h;3iaj;3sny;3snz;3so0;3so1
A6M2W4,3gy1;3s47
A6N8P1,2oq9
A6NI73,2d3v
A6NK44,3zw5
A6NLU0,2fbe
A6NPT5,2lz0
A6PZ97,3mgw;4g9s
A6Q234,3v7p;4m51
A6QDA1,4mp3;4mp6;4mp8;4mpd
A6QE81,4dxf;4dxg
A6QE84,3km9
A6QFH0,2oog
A6QFS3,3ors
A6QFS4,3orq;3orr
A6QG59,3d5r;3d5s
A6QHR2,1jii;1jij;1jik;1jil
A6QHX5,2ola
A6QIG7,1xee;2k3u
A6QJ18,3lhs;3li2
A6QJM6,3hrm;3hse;3hsr;4gxo
A6QNK7,3rg1
A6QPQ5,2ftc
A6T4W3,4g89
A6T661,4jnp;4jnr;4jns
A6T6R4,4lzh
A6T758,2duw
A6T7R3,3qok
A6T882,3e82
A6T888,2kvv
A6T8F5,3fdx;3fh0
A6T8I0,4iit
A6T8I1,4iit
A6T8I2,4iit
A6T8J6,3tfw
A6T8P4,3io1
A6T8V8,2kb2;3gfx;3gfy;3gfz;3gg0;3gg1
A6T8Z3,3lod
A6T923,3rp6;3rp7;3rp8
A6T925,3o7h;3o7i;3o7j;3o7k
A6T926,3qva
A6T989,3i3y;3ikh
A6T9E8,3qvj;3qvk;3qvl
A6T9H1,3hlx;3hml;3hnh
A6T9N5,3fcp
A6TB43,3gdz
A6TB44,3pmm
A6TB72,4hwm
A6TB83,3dl1;3khi
A6TBK4,2l1s
A6TBY7,4jbb
A6TCM0,3hf7
A6TE93,3dza
A6TEE6,3f1z
A6TEL6,3k2v
A6TF33,2k02
A6TFZ6,3r1x
A6TGC5,4nl4;4nl8
A6TGK6,3pgv
A6TGL0,3f67
A6TH02,3rjv
A6TH30,3i38;3lz8
A6THC4,3jyf
A6THE6,3ty1
A6THF7,3m0z
A6THR5,3d02
A6THR9,4gi5
A6THW4,3mtq
A6TJ50,3h8u
A6TKU5,3ctp
A6TWT6,3hb7
A6TYH5,3l5a
A6U2B4,2p92
A6UIY7,2rdm
A6VCX3,2j8m;2j8n;2j8r
A6VIT4,3hxj
A6VKP1,4o8m
A6VKV4,1ygg;1ylh
A6VL88,3c3k
A6VQF1,4g8t
A6VQF6,3n6h;3n6j;3pfr
A6WG04,4a25
A6WW16,4k8l
A6X5V3,4ovt
A6X7C5,4p47
A6X980,4bjj
A6XH05,2j5c
A6XNC5,2pq6
A6XNC6,3hbf;3hbj
A6XNE6,4e70;4ems;4evi
A6ZKP4,3e2v
A6ZL36,3k4x
A6ZSR0,4k0f
A6ZU46,3mkq
A6ZUJ9,3esl
A6ZUP2,4g1b;4g1v
A7A9N3,3uws
A7AB45,4mxn
A7ABT3,4oo3
A7AG74,4e5v
A7AH72,4l8k
A7AH76,4opw
A7AIG2,4ei0
A7ANF8,3js9
