MOLECULE_CHEMBL_ID	MOLECULE_NAME	MOLECULE_TYPE	FIRST_APPROVAL	ATC_CODE	ATC_CODE_DESCRIPTION	USAN_STEM	MECHANISM_OF_ACTION	MECHANISM_COMMENT	SELECTIVITY_COMMENT	TARGET_CHEMBL_ID	TARGET_NAME	ACTION_TYPE	ORGANISM	TARGET_TYPE	SITE_NAME	BINDING_SITE_COMMENT	MECHANISM_REFS	CANONICAL_SMILES
CHEMBL168815	Cevimeline	Small molecule	2000	N07AX03	N07AX03 [Nervous System:Other Nervous System Drugs:Parasympathomimetics:Other parasympathomimetics]	-meline	Muscarinic acetylcholine receptor M1 agonist	Role in regulating gastric secretion, M1 likely involved		CHEMBL216	Muscarinic acetylcholine receptor M1	AGONIST	Homo sapiens	SINGLE PROTEIN			Name:DailyMed, SrcID:setid=773a19e8-4c3e-4414-99a6-aea98c9790ee#nlm34090-1, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=773a19e8-4c3e-4414-99a6-aea98c9790ee#nlm34090-1|Name:ISBN, SrcID:9780702034718 PP. 153, URL:http://www.isbnsearch.org/isbn/9780702034718|Name:PubMed, SrcID:23629427, URL:http://europepmc.org/abstract/MED/23629427	C[C@H]1OC2(CS1)CN3CCC2CC3
CHEMBL175247	Orlistat	Small molecule	1999	A08AB01	A08AB01 [Alimentary Tract And Metabolism:Antiobesity Preparations, Excl. Diet Products:Antiobesity Preparations, Excl. Diet Products:Peripherally acting antiobesity products]	-stat	Fatty acid synthase inhibitor			CHEMBL4158	Fatty acid synthase	INHIBITOR	Homo sapiens	SINGLE PROTEIN			Name:PubMed, SrcID:15026345, URL:http://europepmc.org/abstract/MED/15026345	CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@H](CC(C)C)NC=O
CHEMBL1350	Tiludronic Acid	Small molecule	1997	M05BA05	M05BA05 [Musculo-Skeletal System:Drugs For Treatment Of Bone Diseases:Drugs Affecting Bone Structure And Mineralization:Bisphosphonates]		ATP inhibitor	Non N-containing biphosphonates, moa: its incorporated in ATP anologues, which accumulate in osteoclasts leading to its early apoptosis (specific to osteoclast, because it binds to hydropatite, and is then slowly released when the bone is reabsorded)		CHEMBL2366048	ATP	INHIBITOR	Homo sapiens	SMALL MOLECULE			Name:DailyMed, SrcID:setid=25369752-9d6c-4802-823c-c4205339a525, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=25369752-9d6c-4802-823c-c4205339a525|Name:PubMed, SrcID:20722616, URL:http://europepmc.org/abstract/MED/20722616|Name:PubMed, SrcID:8889850, URL:http://europepmc.org/abstract/MED/8889850	OP(=O)(O)C(Sc1ccc(Cl)cc1)P(=O)(O)O
CHEMBL360328	Lorcaserin	Small molecule	2012	A08AA11	A08AA11 [Alimentary Tract And Metabolism:Antiobesity Preparations, Excl. Diet Products:Antiobesity Preparations, Excl. Diet Products:Centrally acting antiobesity products]	-caserin	Serotonin 2c (5-HT2c) receptor agonist			CHEMBL225	Serotonin 2c (5-HT2c) receptor	AGONIST	Homo sapiens	SINGLE PROTEIN			Name:Expert, SrcID:LORCASERIN, URL:http://chembl.blogspot.co.uk/search?q=LORCASERIN	C[C@H]1CNCCc2ccc(Cl)cc12
CHEMBL185073	Pancuronium	Small molecule	1972	M03AC01	M03AC01 [Musculo-Skeletal System:Muscle Relaxants:Muscle Relaxants, Peripherally Acting Agents:Other quaternary ammonium compounds]	-ium	Muscle-type nicotinic acetylcholine receptor antagonist	non-depolarizing		CHEMBL2362997	Muscle-type nicotinic acetylcholine receptor	ANTAGONIST	Homo sapiens	PROTEIN COMPLEX GROUP			Name:ISBN, SrcID:9780702034718 PP. 164, URL:http://www.isbnsearch.org/isbn/9780702034718|Name:PubMed, SrcID:17525594, URL:http://europepmc.org/abstract/MED/17525594|Name:PubMed, SrcID:19417616, URL:http://europepmc.org/abstract/MED/19417616	CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@@H]([C@@H]4OC(=O)C)[N+]5(C)CCCCC5)[C@@]2(C)C[C@@H]1[N+]6(C)CCCCC6
CHEMBL1363	Arformoterol	Small molecule	2006			-terol	Beta-2 adrenergic receptor agonist	Long acting		CHEMBL210	Beta-2 adrenergic receptor	AGONIST	Homo sapiens	SINGLE PROTEIN			Name:DailyMed, SrcID:setid=7134ae7c-6c64-470d-ab4e-81e35413b839#nlm34090-1, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=7134ae7c-6c64-470d-ab4e-81e35413b839#nlm34090-1	COc1ccc(C[C@@H](C)NC[C@H](O)c2ccc(O)c(NC=O)c2)cc1
CHEMBL439849	Vilazodone	Small molecule	2011	N06AX24	N06AX24 [Nervous System:Psychoanaleptics:Antidepressants:Other antidepressants]		Serotonin 1a (5-HT1a) receptor partial agonist			CHEMBL214	Serotonin 1a (5-HT1a) receptor	PARTIAL AGONIST	Homo sapiens	SINGLE PROTEIN			Name:FDA, SrcID:label/2012/022567s005lbl.pdf, URL:http://www.accessdata.fda.gov/drugsatfda_docs/label/2012/022567s005lbl.pdf|Name:PubMed, SrcID:15740724, URL:http://europepmc.org/abstract/MED/15740724	NC(=O)c1oc2ccc(cc2c1)N3CCN(CCCCc4c[nH]c5ccc(cc45)C#N)CC3
CHEMBL1377	Chloroguanide	Small molecule	2000	P01BB01; P01BB51	P01BB01 [Antiparasitic Products, Insecticides And Repellents:Antiprotozoals:Antimalarials:Biguanides]; P01BB51 [Antiparasitic Products, Insecticides And Repellents:Antiprotozoals:Antimalarials:Biguanides]		Dihydrofolate reductase inhibitor			CHEMBL1939	Dihydrofolate reductase	INHIBITOR	Plasmodium falciparum K1	SINGLE PROTEIN			Name:DailyMed, SrcID:setid=fc22e8d8-3bfb-4f70-a599-dd81262a4887, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=fc22e8d8-3bfb-4f70-a599-dd81262a4887	CC(C)NC(=N)NC(=N)Nc1ccc(Cl)cc1
CHEMBL1380	Abacavir	Small molecule	1998	J05AF06	J05AF06 [Antiinfectives For Systemic Use:Antivirals For Systemic Use:Direct Acting Antivirals:Nucleoside and nucleotide reverse transcriptase inhibitors]	-vir	Human immunodeficiency virus type 1 reverse transcriptase inhibitor			CHEMBL247	Human immunodeficiency virus type 1 reverse transcriptase	INHIBITOR	Human immunodeficiency virus 1	SINGLE PROTEIN			Name:DailyMed, SrcID:setid=80c1702a-973c-436a-90f8-69b29674dca0, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=80c1702a-973c-436a-90f8-69b29674dca0	Nc1nc(NC2CC2)c3ncn([C@@H]4C[C@H](CO)C=C4)c3n1
CHEMBL178	Daunorubicin	Small molecule	1979	L01DB02	L01DB02 [Antineoplastic And Immunomodulating Agents:Antineoplastic Agents:Cytotoxic Antibiotics And Related Substances:Anthracyclines and related substances]	-rubicin	DNA topoisomerase II alpha inhibitor			CHEMBL1806	DNA topoisomerase II alpha	INHIBITOR	Homo sapiens	SINGLE PROTEIN			Name:DailyMed, SrcID:setid=326cd915-5d90-46a5-9a27-af39b9ced7cc, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=326cd915-5d90-46a5-9a27-af39b9ced7cc	COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)C
CHEMBL1401	Nitazoxanide	Small molecule	2002	P01AX11	P01AX11 [Antiparasitic Products, Insecticides And Repellents:Antiprotozoals:Agents Against Amoebiasis And Other Protozoal Diseases:Other agents against amoebiasis and other protozoal diseases]	-oxanide	Pyruvate:ferredoxin oxidoreductase inhibitor			CHEMBL2364027	Pyruvate:ferredoxin oxidoreductase	INHIBITOR	Giardia intestinalis	SINGLE PROTEIN			Name:DailyMed, SrcID:setid=56b1575a-dff4-4c5a-a159-2f858e7a0cb8, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=56b1575a-dff4-4c5a-a159-2f858e7a0cb8	CC(=O)Oc1ccccc1C(=O)Nc2ncc(s2)[N+](=O)[O-]
CHEMBL1433	Doxycycline	Small molecule	1967	J01AA02; A01AB22	J01AA02 [Antiinfectives For Systemic Use:Antibacterials For Systemic Use:Tetracyclines:Tetracyclines]; A01AB22 [Alimentary Tract And Metabolism:Stomatological Preparations:Stomatological Preparations:Antiinfectives and antiseptics for local oral treatment]	-cycline	Matrix metalloproteinase 7 inhibitor	It is an antibiotic, however, its primary action, due to the concentration reached in the human body is via metalloproteinases inhibition, which is beneficial in many pathological conditions in which MMP-mediated proteolysis of the extracellular matrix (ECM) contributes to the pathogenesis, such as heart remodeling, tumor invasion, and inflammation		CHEMBL4073	Matrix metalloproteinase 7	INHIBITOR	Homo sapiens	SINGLE PROTEIN			Name:DailyMed, SrcID:setid=3105a84b-655e-4940-9d11-4209cdb05d6b, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=3105a84b-655e-4940-9d11-4209cdb05d6b|Name:PubMed, SrcID:17199549, URL:http://europepmc.org/abstract/MED/17199549|Name:PubMed, SrcID:20370419, URL:http://europepmc.org/abstract/MED/20370419|Name:PubMed, SrcID:20592239, URL:http://europepmc.org/abstract/MED/20592239	C[C@@H]1[C@H]2[C@H](O)[C@H]3[C@H](N(C)C)C(=C(C(=O)N)C(=O)[C@@]3(O)C(=C2C(=O)c4c(O)cccc14)O)O
CHEMBL1435	Cefazolin	Small molecule	1973	J01DB04	J01DB04 [Antiinfectives For Systemic Use:Antibacterials For Systemic Use:Other Beta-Lactam Antibacterials:First-generation cephalosporins]	cef-	Bacterial penicillin-binding protein inhibitor			CHEMBL2354204	Bacterial penicillin-binding protein	INHIBITOR	Bacteria	PROTEIN FAMILY			Name:PubMed, SrcID:2722720, URL:http://europepmc.org/abstract/MED/2722720|Name:PubMed, SrcID:3266730, URL:http://europepmc.org/abstract/MED/3266730	Cc1nnc(SCC2=C(N3[C@H](SC2)[C@H](NC(=O)Cn4cnnn4)C3=O)C(=O)O)s1
CHEMBL1441	Ethionamide	Small molecule	1965	J04AD03	J04AD03 [Antiinfectives For Systemic Use:Antimycobacterials:Drugs For Treatment Of Tuberculosis:Thiocarbamide derivatives]		Enoyl-[acyl-carrier-protein] reductase inhibitor	Prodrug enzyme: FAD-containing monooxygenase (EthA)		CHEMBL1849	Enoyl-[acyl-carrier-protein] reductase	INHIBITOR	Mycobacterium tuberculosis	SINGLE PROTEIN			Name:PubMed, SrcID:12406221, URL:http://europepmc.org/abstract/MED/12406221|Name:PubMed, SrcID:14638486, URL:http://europepmc.org/abstract/MED/14638486|Name:PubMed, SrcID:8284673, URL:http://europepmc.org/abstract/MED/8284673	CCc1cc(ccn1)C(=S)N
CHEMBL1443	Nafcillin	Small molecule	1965	J01CF06	J01CF06 [Antiinfectives For Systemic Use:Antibacterials For Systemic Use:Beta-Lactam Antibacterials, Penicillins:Beta-lactamase resistant penicillins]	-cillin	Penicillin-binding protein inhibitor			CHEMBL2362972	Penicillin-binding protein	INHIBITOR	Staphylococcus aureus	PROTEIN FAMILY			Name:PubMed, SrcID:7447421, URL:http://europepmc.org/abstract/MED/7447421	CCOc1ccc2ccccc2c1C(=O)N[C@H]3[C@H]4SC(C)(C)[C@@H](N4C3=O)C(=O)O
CHEMBL1448	Niclosamide	Small molecule	1982	P02DA01	P02DA01 [Antiparasitic Products, Insecticides And Repellents:Anthelmintics:Anticestodals:Salicylic acid derivatives]		DNA inhibitor			CHEMBL2366044	DNA	INHIBITOR	Taenia	NUCLEIC-ACID			Name:PubMed, SrcID:12392939, URL:http://europepmc.org/abstract/MED/12392939	Oc1ccc(Cl)cc1C(=O)Nc2ccc(cc2Cl)[N+](=O)[O-]
